drug_name,chembl_id,mechanism_of_actions,smiles
GSK-610677,CHEMBL3544968,MAP kinase p38 alpha inhibitor,
LY-3007113,CHEMBL3544998,MAP kinase p38 alpha inhibitor,
LEO-15520,CHEMBL3545074,MAP kinase p38 alpha inhibitor,
PS-516895,CHEMBL3545139,MAP kinase p38 alpha inhibitor,
SB-85635,CHEMBL3545384,MAP kinase p38 alpha inhibitor,
ARRY-797,CHEMBL1088750,MAP kinase p38 alpha inhibitor,CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCCN(C)C)cc21
SD-0006,CHEMBL1090173,MAP kinase p38 alpha inhibitor,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1
BMS-582949,CHEMBL1230065,MAP kinase p38 alpha inhibitor,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C
SCIO-323,CHEMBL1614702,MAP kinase p38 alpha inhibitor,COc1cc2c(cc1C(=O)N1CCC(Cc3ccc(F)cc3)CC1)c(C(=O)C(=O)N(C)C)cn2C
DILMAPIMOD,CHEMBL2103838,MAP kinase p38 alpha inhibitor,Cc1cc(F)ccc1-c1nc(NC(CO)CO)nc2c1ccc(=O)n2-c1c(F)cccc1F
SEMAPIMOD,CHEMBL2107779,MAP kinase p38 alpha inhibitor,C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1
ITX-5061,CHEMBL3402567,MAP kinase p38 alpha inhibitor,COc1c(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O.Cl
SC-80036,CHEMBL3544930,MAP kinase p38 alpha inhibitor,
TA-5493,CHEMBL3545201,MAP kinase p38 alpha inhibitor,
FX-005,CHEMBL3545216,MAP kinase p38 alpha inhibitor,
NEFLAMAPIMOD,CHEMBL119385,MAP kinase p38 alpha inhibitor,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
TAK-715,CHEMBL363648,MAP kinase p38 alpha inhibitor,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
TALMAPIMOD,CHEMBL514201,MAP kinase p38 alpha inhibitor,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl
PAMAPIMOD,CHEMBL1090089,MAP kinase p38 alpha inhibitor,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21
VX-702,CHEMBL1090090,MAP kinase p38 alpha inhibitor,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F
PH-797804,CHEMBL1088751,MAP kinase p38 alpha inhibitor,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
LOSMAPIMOD,CHEMBL1088752,MAP kinase p38 alpha inhibitor | MAP kinase p38 beta inhibitor,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
RALIMETINIB,CHEMBL2364626,MAP kinase p38 alpha inhibitor,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21
PG-760564,CHEMBL3545398,MAP kinase p38 alpha inhibitor,
ACUMAPIMOD,CHEMBL5314397,MAP kinase p38 alpha inhibitor,Cc1ccc(C(=O)NC2CC2)cc1-n1ncc(C(=O)c2cccc(C#N)c2)c1N
ACETAMINOPHEN,CHEMBL112,Anandamide amidohydrolase inhibitor | Cyclooxygenase inhibitor | Vanilloid receptor opener,CC(=O)Nc1ccc(O)cc1
NAPROXEN,CHEMBL154,Cyclooxygenase inhibitor,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
DICLOFENAC SODIUM,CHEMBL1034,Cyclooxygenase inhibitor,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
NAPROXEN SODIUM,CHEMBL1200806,Cyclooxygenase inhibitor,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
DICLOFENAC EPOLAMINE,CHEMBL1201180,Cyclooxygenase inhibitor,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.OCCN1CCCC1
REDAFAMDASTAT,CHEMBL1651534,Anandamide amidohydrolase inhibitor,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
REGORAFENIB,CHEMBL1946170,MAP kinase p38 beta inhibitor,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
FENOPROFEN CALCIUM,CHEMBL2103736,Cyclooxygenase inhibitor,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2]
IBUPROFEN SODIUM,CHEMBL3989408,Cyclooxygenase inhibitor,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+]
JNJ-42165279,CHEMBL4297294,Anandamide amidohydrolase inhibitor,O=C(Nc1cnccc1Cl)N1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1
SULFASALAZINE,CHEMBL421,Cyclooxygenase inhibitor,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
ASPIRIN,CHEMBL25,Cyclooxygenase inhibitor,CC(=O)Oc1ccccc1C(=O)O
IBUPROFEN,CHEMBL521,Cyclooxygenase inhibitor,CC(C)Cc1ccc(C(C)C(=O)O)cc1
DIFLUNISAL,CHEMBL898,Cyclooxygenase inhibitor,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
NEPAFENAC,CHEMBL1021,Cyclooxygenase inhibitor,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
BISMUTH SUBSALICYLATE,CHEMBL1120,Cyclooxygenase inhibitor,
TOLMETIN SODIUM,CHEMBL1200613,Cyclooxygenase inhibitor,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+]
MECLOFENAMATE SODIUM,CHEMBL1562610,Cyclooxygenase inhibitor,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+]
OXYPHENBUTAZONE,CHEMBL3989676,Cyclooxygenase inhibitor,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O
FLURBIPROFEN SODIUM,CHEMBL3989754,Cyclooxygenase inhibitor,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+]
INDOMETHACIN,CHEMBL6,Cyclooxygenase inhibitor,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
FLURBIPROFEN,CHEMBL563,Cyclooxygenase inhibitor,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
SULINDAC,CHEMBL15770,Cyclooxygenase inhibitor,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
OXAPROZIN POTASSIUM,CHEMBL1200463,Cyclooxygenase inhibitor,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1.[K+]
BALSALAZIDE DISODIUM,CHEMBL1200760,Cyclooxygenase inhibitor,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+]
DICLOFENAC POTASSIUM,CHEMBL1200804,Cyclooxygenase inhibitor,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+]
OLSALAZINE SODIUM,CHEMBL1201013,Cyclooxygenase inhibitor,O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+]
KETOROLAC TROMETHAMINE,CHEMBL1201124,Cyclooxygenase inhibitor,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
BROMFENAC SODIUM,CHEMBL3181947,Cyclooxygenase inhibitor,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+]
INDOMETHACIN SODIUM,CHEMBL3989410,Cyclooxygenase inhibitor,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+]
PIROXICAM,CHEMBL527,Cyclooxygenase inhibitor,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
PHENYLBUTAZONE,CHEMBL101,Cyclooxygenase inhibitor,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
KETOPROFEN,CHEMBL571,Cyclooxygenase inhibitor,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
DICLOFENAC,CHEMBL139,Cyclooxygenase inhibitor,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
MEFENAMIC ACID,CHEMBL686,Cyclooxygenase inhibitor,Cc1cccc(Nc2ccccc2C(=O)O)c1C
MESALAMINE,CHEMBL704,Cyclooxygenase inhibitor,Nc1ccc(O)c(C(=O)O)c1
SUPROFEN,CHEMBL956,Cyclooxygenase inhibitor,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
OXAPROZIN,CHEMBL1071,Cyclooxygenase inhibitor,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
IBUPROFEN LYSINE,CHEMBL1201141,Cyclooxygenase inhibitor,CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O
NAPROXCINOD,CHEMBL2103831,Cyclooxygenase inhibitor,COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1
CLOMETACIN,CHEMBL13376,Cyclooxygenase inhibitor,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
FENCLOFENAC,CHEMBL15677,Cyclooxygenase inhibitor,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
INDOPROFEN,CHEMBL15870,Cyclooxygenase inhibitor,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
ISOXICAM,CHEMBL53292,Cyclooxygenase inhibitor,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1
IBUFENAC,CHEMBL341812,Cyclooxygenase inhibitor,CC(C)Cc1ccc(CC(=O)O)cc1
GLAFENINE,CHEMBL146095,Cyclooxygenase inhibitor,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
PIRPROFEN,CHEMBL188952,Cyclooxygenase inhibitor,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
DEXIBUPROFEN,CHEMBL175,Cyclooxygenase inhibitor,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
NAPROXEN ETEMESIL,CHEMBL2105683,Cyclooxygenase inhibitor,COc1ccc2cc([C@H](C)C(=O)OCCS(C)(=O)=O)ccc2c1
DIPYRONE,CHEMBL3989803,Cyclooxygenase inhibitor,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+]
BENZYDAMINE,CHEMBL12610,Cyclooxygenase inhibitor,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
LOXOPROFEN,CHEMBL19299,Cyclooxygenase inhibitor,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
DEXKETOPROFEN,CHEMBL75435,Cyclooxygenase inhibitor,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
ACEMETACIN,CHEMBL189171,Cyclooxygenase inhibitor,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
ESFLURBIPROFEN,CHEMBL435298,Cyclooxygenase inhibitor,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
BENZYDAMINE HYDROCHLORIDE,CHEMBL1528134,Cyclooxygenase inhibitor,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl
APAZONE,CHEMBL1565476,Cyclooxygenase inhibitor,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
LORNOXICAM,CHEMBL1569487,Cyclooxygenase inhibitor,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
ALOXIPRIN,CHEMBL2108222,Cyclooxygenase inhibitor,
BETAMETHASONE,CHEMBL632,Glucocorticoid receptor agonist,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
PREDNISONE,CHEMBL635,Glucocorticoid receptor agonist,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CAPSAICIN,CHEMBL294199,Vanilloid receptor opener,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
HYDROCORTISONE,CHEMBL389621,Glucocorticoid receptor agonist,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
TRIAMCINOLONE ACETONIDE,CHEMBL1504,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
HYDROCORTISONE CYPIONATE,CHEMBL1549,Glucocorticoid receptor agonist,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1
CLOBETASOL PROPIONATE,CHEMBL1159650,Glucocorticoid receptor agonist,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HALCINONIDE,CHEMBL1200845,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
MEDRYSONE,CHEMBL1201173,Glucocorticoid receptor agonist,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DIFLUPREDNATE,CHEMBL1201749,Glucocorticoid receptor agonist,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
PREDNISOLONE,CHEMBL131,Glucocorticoid receptor agonist,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
FLUNISOLIDE,CHEMBL1512,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
PARAMETHASONE ACETATE,CHEMBL1200342,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
BETAMETHASONE DIPROPIONATE,CHEMBL1200384,Glucocorticoid receptor agonist,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HYDROCORTISONE SODIUM SUCCINATE,CHEMBL1200495,Glucocorticoid receptor agonist,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+]
FLUOROMETHOLONE,CHEMBL1200600,Glucocorticoid receptor agonist,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HYDROCORTAMATE HYDROCHLORIDE,CHEMBL1200635,Glucocorticoid receptor agonist,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl
BETAMETHASONE SODIUM PHOSPHATE,CHEMBL1200762,Glucocorticoid receptor agonist,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
LOTEPREDNOL ETABONATE,CHEMBL1200865,Glucocorticoid receptor agonist,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
PREDNISOLONE TEBUTATE,CHEMBL1200909,Glucocorticoid receptor agonist,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
PREDNICARBATE,CHEMBL1200386,Glucocorticoid receptor agonist,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
BECLOMETHASONE DIPROPIONATE,CHEMBL1200500,Glucocorticoid receptor agonist,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
BETAMETHASONE ACETATE,CHEMBL1200538,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
DIFLORASONE DIACETATE,CHEMBL1200545,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
FLUMETHASONE PIVALATE,CHEMBL1200877,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C
HALOBETASOL PROPIONATE,CHEMBL1200908,Glucocorticoid receptor agonist,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HYDROCORTISONE SODIUM PHOSPHATE,CHEMBL1200968,Glucocorticoid receptor agonist,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Glucocorticoid receptor agonist,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+]
DESONIDE,CHEMBL1201109,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DEXAMETHASONE SODIUM PHOSPHATE,CHEMBL2021430,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
METHYLPREDNISOLONE,CHEMBL650,Glucocorticoid receptor agonist,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
TRIAMCINOLONE,CHEMBL1451,Glucocorticoid receptor agonist,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
FLUOCINONIDE,CHEMBL1501,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
FLUTICASONE FUROATE,CHEMBL1676,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
DESOXIMETASONE,CHEMBL1766,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
BETAMETHASONE BENZOATE,CHEMBL1200376,Glucocorticoid receptor agonist,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO
TRIAMCINOLONE DIACETATE,CHEMBL1200449,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HYDROCORTISONE VALERATE,CHEMBL1200562,Glucocorticoid receptor agonist,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
AMCINONIDE,CHEMBL1200732,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
FLUOROMETHOLONE ACETATE,CHEMBL1201064,Glucocorticoid receptor agonist,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
HYDROCORTISONE ACETATE,CHEMBL1091,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
MOMETASONE FUROATE,CHEMBL1161,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
HYDROCORTISONE BUTYRATE,CHEMBL1683,Glucocorticoid receptor agonist,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
FLUPREDNISOLONE,CHEMBL1200774,Glucocorticoid receptor agonist,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
TRIAMCINOLONE HEXACETONIDE,CHEMBL1200878,Glucocorticoid receptor agonist,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CLOCORTOLONE PIVALATE,CHEMBL1200975,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C
ALCLOMETASONE DIPROPIONATE,CHEMBL1200989,Glucocorticoid receptor agonist,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
PREDNISOLONE SODIUM PHOSPHATE,CHEMBL1201014,Glucocorticoid receptor agonist,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
MEPREDNISONE,CHEMBL1201148,Glucocorticoid receptor agonist,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO
DEXAMETHASONE ACETATE,CHEMBL1530428,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
FLUOCINOLONE ACETONIDE,CHEMBL989,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
PREDNISOLONE ACETATE,CHEMBL1152,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
BUDESONIDE,CHEMBL1370,Glucocorticoid receptor agonist,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DEXAMETHASONE,CHEMBL384467,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BETAMETHASONE VALERATE,CHEMBL1497,Glucocorticoid receptor agonist,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CORTISONE ACETATE,CHEMBL1650,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
RIMEXOLONE,CHEMBL1200617,Glucocorticoid receptor agonist,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
HYDROCORTISONE PROBUTATE,CHEMBL1200953,Glucocorticoid receptor agonist,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
