drug_name,chembl_id,max_phase,cancer_indications
PREXASERTIB,CHEMBL3544911,2,"Brain Neoplasms; Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Central Nervous System Neoplasms; Colorectal Neoplasms; Glioma; Head and Neck Neoplasms; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Medulloblastoma; Neoplasm Metastasis; Neoplasms; Ovarian Neoplasms; Small Cell Lung Carcinoma"
PREXIGEBERSEN,CHEMBL3989978,2,"Leukemia, Myeloid, Acute"
PRI-724,CHEMBL4297813,2,"Colorectal Neoplasms; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Neoplasms; Pancreatic Neoplasms"
PYRONARIDINE TETRAPHOSPHATE,CHEMBL2095224,2,"Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
QUIZARTINIB,CHEMBL576982,3,"Leukemia, Myeloid, Acute; Neoplasms"
QUIZARTINIB DIHYDROCHLORIDE,CHEMBL2105709,4,"Leukemia, Myeloid; Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
RADOTINIB,CHEMBL4297524,3,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
RANOSIDENIB,CHEMBL6068069,2,"Leukemia, Myeloid, Acute; Neoplasms"
REBASTINIB,CHEMBL1738757,1,"Breast Neoplasms; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Neoplasms"
RECOMBINANT HUMAN THROMBOPOIETIN,CHEMBL4802180,3,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Leukemia, Myeloid, Acute; Neoplasms; Sarcoma"
REGORAFENIB,CHEMBL1946170,4,"Bile Duct Neoplasms; Biliary Tract Neoplasms; Bone Neoplasms; Carcinoma, Adenoid Cystic; Carcinoma, Hepatocellular; Carcinoma, Renal Cell; Cholangiocarcinoma; Colonic Neoplasms; Colorectal Neoplasms; Digestive System Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Hemangiosarcoma; Leukemia, Myeloid, Acute; Liposarcoma; Melanoma; Meningioma; Neoplasms; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Rectal Neoplasms; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Stomach Neoplasms; Thyroid Neoplasms"
RELATLIMAB,CHEMBL3990044,3,"Carcinoma, Basal Cell; Carcinoma, Hepatocellular; Carcinoma, Merkel Cell; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Colonic Neoplasms; Colorectal Neoplasms; Esophageal Neoplasms; Glioblastoma; Gliosarcoma; Hematologic Neoplasms; Leukemia, Myeloid, Acute; Liver Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Melanoma; Multiple Myeloma; Nasopharyngeal Carcinoma; Neoplasms; Sarcoma; Stomach Neoplasms; Uveal Melanoma"
REVUMENIB,CHEMBL4650827,2,"Colorectal Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Myeloid, Acute; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
REVUMENIB SESQUIFUMARATE,CHEMBL4650278,1,"Leukemia, Myeloid, Acute"
RIBAVIRIN,CHEMBL1643,2,"Breast Neoplasms; Leukemia, Myeloid, Acute; Neoplasms"
RIGOSERTIB SODIUM,CHEMBL2013119,3,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Neoplasms; Ovarian Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
RIMIDUCID,CHEMBL269259,1,"Breast Neoplasms; Hematologic Neoplasms; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Lymphoma; Multiple Myeloma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant"
RITUXIMAB,CHEMBL1201576,4,"Blastic Plasmacytoid Dendritic Cell Neoplasm; Breast Neoplasms; Burkitt Lymphoma; Carcinoma, Hepatocellular; Carcinoma, Squamous Cell; Colonic Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Hairy Cell; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Mast-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Leukemia, Prolymphocytic; Lung Neoplasms; Lymphoma; Lymphoma, AIDS-Related; Lymphoma, B-Cell; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, Primary Effusion; Lymphoma, T-Cell, Cutaneous; Melanoma; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Neoplasms, Plasma Cell; Neuroblastoma; Pancreatic Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Stomach Neoplasms"
RIVOGENLECLEUCEL,CHEMBL3989979,1,"Hematologic Neoplasms; Leukemia, Myeloid, Acute; Lymphoma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
RO-5429083,CHEMBL4594601,1,"Leukemia, Myeloid, Acute; Neoplasms"
RO-6870810,CHEMBL4297423,1,"Leukemia, Myeloid, Acute; Lymphoma, Large B-Cell, Diffuse; Multiple Myeloma; Neoplasms"
ROMIDEPSIN,CHEMBL343448,4,"Adenocarcinoma, Follicular; Astrocytoma; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Colorectal Neoplasms; Glioblastoma; Gliosarcoma; Hematologic Neoplasms; Hodgkin Disease; Inflammatory Breast Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Promyelocytic, Acute; Liposarcoma; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell; Lymphoma, T-Cell, Cutaneous; Lymphoma, T-Cell, Peripheral; Melanoma; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Oligodendroglioma; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Sezary Syndrome; Small Cell Lung Carcinoma; Stomach Neoplasms; Thyroid Neoplasms; Triple Negative Breast Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms"
ROMYELOCEL-L,CHEMBL3137339,2,"Leukemia, Myeloid, Acute"
ROPEGINTERFERON ALFA-2B,CHEMBL4297819,4,"Carcinoma, Hepatocellular; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Neoplasms"
RUSERONTINIB,CHEMBL3678958,3,"Leukemia, Myeloid, Acute; Neoplasms"
RUXOLITINIB,CHEMBL1789941,4,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Squamous Cell; Colorectal Neoplasms; Glioblastoma; Hematologic Neoplasms; Hodgkin Disease; Inflammatory Breast Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Large Granular Lymphocytic; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Lung Neoplasms; Lymphoma; Lymphoma, Non-Hodgkin; Multiple Myeloma; Neoplasms; Pancreatic Neoplasms; Paraganglioma; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Uveal Melanoma"
RUXOLITINIB PHOSPHATE,CHEMBL1795071,2,"Fallopian Tube Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Triple Negative Breast Neoplasms"
S-55746,CHEMBL4650448,1,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Lymphoma, Follicular; Multiple Myeloma"
SABATOLIMAB,CHEMBL4594575,3,"Glioblastoma; Leukemia, Myeloid, Acute; Neoplasms"
SAMALIZUMAB,CHEMBL1743067,1,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms"
SAPACITABINE,CHEMBL2105681,3,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Leukemia; Leukemia, Myeloid, Acute; Lymphoma, T-Cell, Cutaneous; Neoplasms"
SAR-103168,CHEMBL3545400,1,"Leukemia, Myeloid, Acute"
SARGRAMOSTIM,CHEMBL1201670,4,"Adenocarcinoma; Biliary Tract Neoplasms; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Carcinoma, Endometrioid; Carcinoma, Intraductal, Noninfiltrating; Carcinoma, Non-Small-Cell Lung; Carcinoma, Pancreatic Ductal; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Central Nervous System Neoplasms; Colorectal Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Gallbladder Neoplasms; Ganglioneuroblastoma; Glioblastoma; Gliosarcoma; Hematologic Neoplasms; Hodgkin Disease; Inflammatory Breast Neoplasms; Kidney Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Plasma Cell; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Non-Hodgkin; Melanoma; Multiple Myeloma; Neoplasm Metastasis; Neoplasms; Neoplasms, Plasma Cell; Neuroblastoma; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rhabdomyosarcoma; Sarcoma; Squamous Cell Carcinoma of Head and Neck; Stomach Neoplasms; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms; Uveal Melanoma"
SCH-900776,CHEMBL2386889,1,"Hodgkin Disease; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Lymphoma, Non-Hodgkin; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
SELINEXOR,CHEMBL3545185,4,"Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Colorectal Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Glioblastoma; Gliosarcoma; Hematologic Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Liposarcoma; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, T-Cell, Peripheral; Melanoma; Multiple Myeloma; Neoplasms; Ovarian Neoplasms; Paraganglioma; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Sarcoma; Small Cell Lung Carcinoma; Thymoma; Thymus Neoplasms; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms"
SELUMETINIB,CHEMBL1614701,4,"Adenocarcinoma; Adenocarcinoma, Follicular; Astrocytoma; Bile Duct Neoplasms; Biliary Tract Neoplasms; Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Cholangiocarcinoma; Colonic Neoplasms; Colorectal Neoplasms; Gallbladder Neoplasms; Glioma; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Liver Neoplasms; Lung Neoplasms; Lymphoma, Large B-Cell, Diffuse; Melanoma; Multiple Myeloma; Neoplasms; Optic Nerve Glioma; Pancreatic Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Rectal Neoplasms; Sarcoma; Sarcoma, Kaposi; Stomach Neoplasms; Thyroid Neoplasms; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms; Uterine Neoplasms; Uveal Melanoma"
SERTRALINE,CHEMBL809,1,"Glioblastoma; Leukemia, Myeloid, Acute"
SGN-CD123A,CHEMBL4297826,1,"Leukemia, Myeloid, Acute"
SILTUXIMAB,CHEMBL1743070,3,"Carcinoma, Renal Cell; Kidney Neoplasms; Leukemia; Leukemia, Myeloid, Acute; Lymphoma, Non-Hodgkin; Multiple Myeloma; Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant"
SIREMADLIN,CHEMBL3653256,2,"Leukemia, Myeloid, Acute; Liposarcoma; Neoplasms; Sarcoma; Uveal Melanoma"
SIROLIMUS,CHEMBL413,4,"Adenocarcinoma of Lung; Breast Neoplasms; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Central Nervous System Neoplasms; Desmoid Tumors; Fallopian Tube Neoplasms; Glioblastoma; Glioma; Gliosarcoma; Hematologic Neoplasms; Hodgkin Disease; Leiomyosarcoma; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Plasma Cell; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Cutaneous; Multiple Myeloma; Neoplasm Metastasis; Neoplasms; Neoplasms, Germ Cell and Embryonal; Neoplasms, Plasma Cell; Neuroblastoma; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Perivascular Epithelioid Cell Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Sarcoma; Skin Neoplasms; Small Cell Lung Carcinoma; Thyroid Neoplasms; Urinary Bladder Neoplasms"
SJG-136,CHEMBL16498,1,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Neoplasms"
SODIUM CHLORIDE,CHEMBL1200574,3,"Bone Neoplasms; Brain Neoplasms; Breast Neoplasms; Carcinoma; Carcinoma, Hepatocellular; Carcinoma, Intraductal, Noninfiltrating; Carcinoma, Non-Small-Cell Lung; Colonic Neoplasms; Desmoid Tumors; Glioblastoma; Head and Neck Neoplasms; Hodgkin Disease; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Cutaneous; Melanoma; Meningioma; Mesothelioma; Mycosis Fungoides; Nasopharyngeal Carcinoma; Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Small Cell Lung Carcinoma; Spinal Cord Neoplasms; Spinal Neoplasms; Urinary Bladder Neoplasms"
SORAFENIB,CHEMBL1336,3,"Adenocarcinoma; Adenocarcinoma, Follicular; Adrenal Cortex Neoplasms; Astrocytoma; Bile Duct Neoplasms; Biliary Tract Neoplasms; Brain Neoplasms; Breast Neoplasms; Carcinoma; Carcinoma, Hepatocellular; Carcinoma, Medullary; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Small Cell; Carcinoma, Squamous Cell; Cholangiocarcinoma; Colorectal Neoplasms; Gallbladder Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Gliosarcoma; Head and Neck Neoplasms; Hepatoblastoma; Kidney Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Leukemia, Promyelocytic, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma; Melanoma; Mesothelioma; Multiple Myeloma; Nasopharyngeal Neoplasms; Neoplasms; Neoplasms, Plasma Cell; Neuroblastoma; Neuroendocrine Tumors; Oligodendroglioma; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Rhabdomyosarcoma; Salivary Gland Neoplasms; Sarcoma; Sarcoma, Kaposi; Small Cell Lung Carcinoma; Stomach Neoplasms; Testicular Neoplasms; Thyroid Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Uveal Melanoma"
SORAFENIB TOSYLATE,CHEMBL1200485,4,"Adenocarcinoma, Follicular; Astrocytoma; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Verrucous; Central Nervous System Neoplasms; Colonic Neoplasms; Colorectal Neoplasms; Desmoid Tumors; Fallopian Tube Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Gliosarcoma; Head and Neck Neoplasms; Hypopharyngeal Neoplasms; Kidney Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Leukemia, Promyelocytic, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Melanoma; Mesothelioma; Multiple Myeloma; Neoplasms; Neoplasms, Plasma Cell; Oligodendroglioma; Oropharyngeal Neoplasms; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Salivary Gland Neoplasms; Sarcoma; Sarcoma, Myeloid; Small Cell Lung Carcinoma; Squamous Cell Carcinoma of Head and Neck; Thyroid Neoplasms; Tongue Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uveal Melanoma"
SORBITOL,CHEMBL1682,1,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
SOVLEPLENIB,CHEMBL5095034,2,"Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Non-Hodgkin; Neoplasms"
SPIRONOLACTONE,CHEMBL1393,2,"Leukemia; Leukemia, Myeloid, Acute; Neoplasms; Neuroblastoma"
SUCCIMER,CHEMBL1201073,1,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute"
SULANEMADLIN,CHEMBL5095209,1,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Leukemia, Myeloid, Acute; Lymphoma, T-Cell, Peripheral; Neoplasms; Small Cell Lung Carcinoma"
SULFASALAZINE,CHEMBL421,1,"Glioblastoma; Leukemia, Myeloid, Acute; Paraganglioma"
SULINDAC,CHEMBL15770,3,"Breast Neoplasms; Carcinoma, Squamous Cell; Colorectal Neoplasms; Desmoid Tumors; Leukemia, Myeloid, Acute; Melanoma; Precancerous Conditions"
SUNITINIB,CHEMBL535,4,"Adenocarcinoma; Adrenal Cortex Neoplasms; Brain Neoplasms; Breast Neoplasms; Carcinoid Tumor; Carcinoma; Carcinoma, Hepatocellular; Carcinoma, Islet Cell; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Cholangiocarcinoma; Colorectal Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Glioma; Gliosarcoma; Kidney Neoplasms; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Melanoma; Nasopharyngeal Carcinoma; Neoplasms; Neoplasms, Germ Cell and Embryonal; Neuroendocrine Tumors; Osteosarcoma; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Sarcoma; Sarcoma, Alveolar Soft Part; Small Cell Lung Carcinoma; Stomach Neoplasms; Thymoma; Thymus Neoplasms; Thyroid Neoplasms; Urinary Bladder Neoplasms; Urogenital Neoplasms; Uveal Melanoma"
SUNITINIB MALATE,CHEMBL1567,4,"Adenocarcinoma, Follicular; Astrocytoma; Breast Neoplasms; Breast Neoplasms, Male; Carcinoma, Hepatocellular; Carcinoma, Islet Cell; Carcinoma, Medullary; Carcinoma, Non-Small-Cell Lung; Carcinoma, Ovarian Epithelial; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Colorectal Neoplasms; Esophageal Neoplasms; Fallopian Tube Neoplasms; Gastrointestinal Stromal Tumors; Glioblastoma; Glioma; Gliosarcoma; Hypopharyngeal Neoplasms; Inflammatory Breast Neoplasms; Kidney Neoplasms; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma, Large B-Cell, Diffuse; Melanoma; Mesothelioma; Multiple Myeloma; Neoplasms; Neoplasms, Germ Cell and Embryonal; Neuroendocrine Tumors; Oligodendroglioma; Oropharyngeal Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Sarcoma; Sarcoma, Kaposi; Small Cell Lung Carcinoma; Squamous Cell Carcinoma of Head and Neck; Stomach Neoplasms; Thymoma; Thyroid Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uveal Melanoma"
TACROLIMUS ANHYDROUS,CHEMBL269732,3,"Burkitt Lymphoma; Carcinoma, Hepatocellular; Hematologic Neoplasms; Hodgkin Disease; Kidney Neoplasms; Leukemia; Leukemia, Large Granular Lymphocytic; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Leukemia, Myelomonocytic, Juvenile; Leukemia, Plasma Cell; Leukemia-Lymphoma, Adult T-Cell; Lymphoma; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Mantle-Cell; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Peripheral; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Neoplasms, Neuroepithelial; Neoplasms, Plasma Cell; Neuroblastoma; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Sarcoma; Sezary Syndrome; Skin Neoplasms"
TAGRAXOFUSP,CHEMBL4297573,4,"Blastic Plasmacytoid Dendritic Cell Neoplasm; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Lymphoma; Neoplasms"
TAK-901,CHEMBL3544932,1,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Lymphoma; Multiple Myeloma"
TALACOTUZUMAB,CHEMBL4297837,2,"Leukemia, Myeloid, Acute"
TALAZOPARIB,CHEMBL3137320,3,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Colorectal Neoplasms; Endometrial Neoplasms; Glioblastoma; Hemangiosarcoma; Hereditary Breast and Ovarian Cancer Syndrome; Leukemia; Leukemia, Myeloid, Acute; Melanoma; Neoplasms; Neuroendocrine Tumors; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Small Cell Lung Carcinoma; Triple Negative Breast Neoplasms; Urinary Bladder Neoplasms"
TALAZOPARIB TOSYLATE,CHEMBL3137318,4,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Leukemia; Leukemia, Myeloid, Acute; Neoplasms; Triple Negative Breast Neoplasms"
TAMIBAROTENE,CHEMBL25202,2,"Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Leukemia, Promyelocytic, Acute; Pancreatic Neoplasms"
TANDUTINIB,CHEMBL124660,2,"Astrocytoma; Carcinoma, Renal Cell; Glioblastoma; Gliosarcoma; Leukemia, Myeloid, Acute; Oligodendroglioma"
TANIRALEUCEL,CHEMBL5314619,1,"Glioblastoma; Leukemia, Myeloid, Acute; Multiple Myeloma"
TAPOTOCLAX,CHEMBL4446378,1,"Leukemia, Myeloid, Acute; Multiple Myeloma"
TASISULAM,CHEMBL2110587,2,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Fallopian Tube Neoplasms; Leukemia, Myeloid, Acute; Lymphoma; Melanoma; Neoplasms; Ovarian Neoplasms; Sarcoma"
TAZEMETOSTAT,CHEMBL3414621,4,"Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Mesothelioma; Multiple Myeloma; Neoplasms; Prostatic Neoplasms; Sarcoma; Urinary Bladder Neoplasms"
TELAGLENASTAT,CHEMBL3639788,2,"Astrocytoma; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Triple Negative Breast Neoplasms; Uterine Cervical Neoplasms"
TEMOZOLOMIDE,CHEMBL810,4,"Astrocytoma; Biliary Tract Neoplasms; Brain Neoplasms; Brain Stem Neoplasms; Breast Neoplasms; Carcinoid Tumor; Carcinoma, Hepatocellular; Carcinoma, Islet Cell; Carcinoma, Neuroendocrine; Carcinoma, Non-Small-Cell Lung; Central Nervous System Neoplasms; Choroid Plexus Neoplasms; Colorectal Neoplasms; Desmoplastic Small Round Cell Tumor; Diffuse Intrinsic Pontine Glioma; Fallopian Tube Neoplasms; Ganglioneuroblastoma; Gastrointestinal Stromal Tumors; Glioblastoma; Glioma; Gliosarcoma; Hereditary Breast and Ovarian Cancer Syndrome; Leiomyosarcoma; Leukemia; Leukemia, Myeloid, Acute; Lung Neoplasms; Lymphoma; Lymphoma, Non-Hodgkin; Medulloblastoma; Melanoma; Neoplasm Metastasis; Neoplasms; Neuroblastoma; Neuroectodermal Tumors, Primitive, Peripheral; Neuroendocrine Tumors; Oligodendroglioma; Optic Nerve Glioma; Ovarian Neoplasms; Pancreatic Neoplasms; Paraganglioma; Pituitary Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Retinoblastoma; Rhabdomyosarcoma; Rhabdomyosarcoma, Alveolar; Rhabdomyosarcoma, Embryonal; Sarcoma; Sarcoma, Ewing; Skin Neoplasms; Small Cell Lung Carcinoma; Spinal Cord Neoplasms; Uveal Melanoma; Wilms Tumor"
