rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
1119,benfluorex,CHEMBL400599,True,5-hydroxytryptamine receptor 2B,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.3 (True=494.9 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.3,8.0,4.0,351.37,4.08,0.0,False,False,False,0.0,1.5,1.5
1120,bergapten,CHEMBL24171,True,Cytochrome P450 1A1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=60.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,7.22,9.0,3.0,216.19,2.55,0.0,False,False,False,0.0,2.0,1.0
1121,betazole,CHEMBL1201323,True,Histamine H2 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=910.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.04,8.0,4.0,111.15,-0.09,0.0,False,False,False,0.0,1.5,1.5
1122,bethanechol,CHEMBL1482,True,Muscarinic acetylcholine receptor M3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.4 (True=426.58 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.37,9.0,4.0,161.22,0.18,0.0,False,False,False,0.0,1.5,1.5
1123,bicifadine,CHEMBL511099,True,Sodium-dependent noradrenaline transporter,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.3 (True=55.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,7.26,9.0,3.0,173.26,1.86,0.0,False,False,False,0.0,2.0,1.0
1124,bifonazole,CHEMBL277535,True,"Steroid 17-alpha-hydroxylase/17,20 lyase",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=56.5 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,7.25,9.0,3.0,310.4,5.19,1.0,False,False,False,0.0,2.0,1.0
1125,bitopertin,CHEMBL1171829,True,Sodium- and chloride-dependent glycine transporter 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.3 (True=47.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,7.33,9.0,3.0,543.46,3.94,1.0,False,False,False,0.0,2.0,1.0
1126,brivanib-alaninate,CHEMBL270995,True,NUAK family SNF1-like kinase 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,8.52,9.0,3.0,441.46,3.42,0.0,False,False,False,0.0,2.0,1.0
1127,bromhexine,CHEMBL253376,True,Sigma non-opioid intracellular receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.6 (True=25.0 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,7.6,8.0,3.0,376.14,4.56,0.0,False,False,False,0.0,2.0,1.0
1128,buclizine,CHEMBL1201271,True,Voltage-gated inwardly rectifying potassium channel KCNH2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.9 (True=1200.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.92,8.0,4.0,433.04,6.54,1.0,False,False,True,0.0,0.5,1.5
1129,bufexamac,CHEMBL94394,True,Polyunsaturated fatty acid 5-lipoxygenase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.9 (True=128.82 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.89,9.0,4.0,223.27,1.91,0.0,False,False,False,0.0,1.5,1.5
1130,butaclamol,CHEMBL1255588,True,D(2) dopamine receptor,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=9.5 (True=0.3 True vs True, True); assay confidence=8/9; MOA: True",Low,3.0,9.52,8.0,,361.53,4.84,0.0,False,False,True,0.0,2.0,0.0
1131,butamben,CHEMBL127516,True,Cytochrome P450 1A2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.5 (True=316.23 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.5,8.0,4.0,193.25,2.23,0.0,False,False,False,0.0,1.5,1.5
1132,butenafine,CHEMBL990,True,Cytochrome P450 2D6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.5 (True=300.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.52,8.0,4.0,317.48,5.77,1.0,False,False,False,0.0,1.5,1.5
1133,caffeic-acid,CHEMBL145,True,Matrix metalloproteinase-9,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.0 (True=10.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,8.0,9.0,3.0,180.16,1.2,0.0,False,False,False,0.0,2.0,1.0
1134,calcifediol,CHEMBL1040,True,Vitamin D3 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.2 (True=600.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.22,9.0,4.0,400.65,6.73,1.0,False,False,False,0.0,1.5,1.5
1135,camicinal,CHEMBL489095,True,Motilin receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.9 (True=12.59 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,7.9,9.0,3.0,424.56,3.27,0.0,False,False,False,0.0,2.0,1.0
1136,camostat-mesilate,CHEMBL590799,True,Cannabinoid receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.5 (True=0.3 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,9.52,8.0,3.0,398.42,1.39,0.0,False,False,False,0.0,2.0,1.0
1137,candesartan,CHEMBL1016,True,Type-1 angiotensin II receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.4 (True=0.4 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,9.4,8.0,3.0,440.46,4.03,0.0,False,False,False,0.0,2.0,1.0
1138,canertinib,CHEMBL31965,True,Epidermal growth factor receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=10.4 (True=0.04 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,10.4,9.0,3.0,485.95,4.39,0.0,False,False,False,0.0,2.0,1.0
1139,canrenone,CHEMBL1463345,True,Progesterone receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=200.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.7,8.0,4.0,340.46,4.37,0.0,False,False,False,0.0,1.5,1.5
1140,carbetocin,CHEMBL3301668,True,Oxytocin receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.2 (True=0.7 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.15,9.0,3.0,988.18,-2.5,3.0,False,False,False,0.0,2.0,1.0
1141,carbinoxamine,CHEMBL864,True,Histamine H1 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.0 (True=110.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.96,8.0,4.0,290.79,3.4,0.0,False,False,False,0.0,1.5,1.5
1142,cebranopadol,CHEMBL2364605,True,Mu-type opioid receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.5 (True=0.32 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.49,9.0,3.0,378.49,5.11,1.0,False,False,False,0.0,2.0,1.0
1143,cefaclor,CHEMBL680,True,Streptokinase A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.3 (True=465.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.33,8.0,4.0,367.81,0.62,0.0,False,False,False,0.0,1.5,1.5
1144,cefoperazone,CHEMBL507674,True,Solute carrier family 22 member 6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=210.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.68,8.0,4.0,645.68,-1.11,2.0,False,False,False,0.0,1.5,1.5
1145,ceftriaxone,CHEMBL161,True,Solute carrier family 22 member 6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.6 (True=230.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.64,8.0,4.0,554.59,-1.2,2.0,False,False,False,0.0,1.5,1.5
1146,celiprolol,CHEMBL27810,True,Beta-1 adrenergic receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.1 (True=76.0 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,7.12,8.0,3.0,379.5,2.89,0.0,False,False,False,0.0,2.0,1.0
1147,cevimeline,CHEMBL168815,True,Muscarinic acetylcholine receptor M2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.1 (True=851.14 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.07,9.0,4.0,199.32,1.56,0.0,False,False,False,0.0,1.5,1.5
1148,chloramphenicol,CHEMBL130,True,Streptokinase A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=973.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.01,8.0,4.0,323.13,0.91,0.0,False,False,False,0.0,1.5,1.5
1149,chloroxine,CHEMBL1200596,True,Streptokinase A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.8 (True=148.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.83,8.0,4.0,214.05,3.25,0.0,False,False,False,0.0,1.5,1.5
1150,chlorzoxazone,CHEMBL1371,True,Cytochrome P450 1A2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.4 (True=398.11 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.4,8.0,4.0,169.57,1.77,0.0,False,False,False,0.0,1.5,1.5
1151,cianidanol,CHEMBL311498,True,Arginase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.2 (True=600.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.22,9.0,4.0,290.27,1.55,0.0,False,False,False,0.0,1.5,1.5
1152,cilengitide,CHEMBL429876,True,Integrin alpha-V/beta-5,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.9 (True=0.13 True vs True, True); assay confidence=7/9; clinical stage: Phase III; MOA: True",Low,3.0,9.89,7.0,3.0,588.67,-1.97,2.0,False,False,False,0.0,2.0,1.0
1153,cinchocaine,CHEMBL1086,True,Voltage-gated inwardly rectifying potassium channel KCNH2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.8 (True=1419.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.85,8.0,4.0,343.47,3.49,0.0,False,False,True,0.0,0.5,1.5
1154,ciprofibrate,CHEMBL557555,True,Peroxisome proliferator-activated receptor alpha,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=900.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.05,9.0,4.0,289.16,3.59,0.0,False,False,False,0.0,1.5,1.5
1155,clebopride,CHEMBL325109,True,D(2) dopamine receptor,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=8.9 (True=1.13 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,3.0,8.95,9.0,2.0,373.88,3.33,0.0,False,False,True,0.0,2.0,0.0
1156,climbazole,CHEMBL1437764,True,Sodium-dependent dopamine transporter,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=7.2 (True=66.2 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,3.0,7.18,8.0,2.0,292.77,3.73,0.0,False,False,True,0.0,2.0,0.0
1157,clobutinol,CHEMBL1474889,True,Voltage-gated inwardly rectifying potassium channel KCNH2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.1 (True=8453.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.07,8.0,4.0,255.79,2.83,0.0,False,False,True,0.0,0.5,1.5
1158,clodronic-acid,CHEMBL12318,True,Type IV secretion-like conjugative transfer relaxase protein TraI,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,8.52,8.0,3.0,244.89,0.43,0.0,False,False,False,0.0,2.0,1.0
1159,clofarabine,CHEMBL1750,True,"3',5'-cyclic-AMP phosphodiesterase 4D",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.8 (True=170.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.77,8.0,4.0,303.68,-0.35,0.0,False,False,False,0.0,1.5,1.5
1160,clofedanol,CHEMBL1201313,True,Voltage-gated inwardly rectifying potassium channel KCNH2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.5 (True=3400.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.47,8.0,4.0,289.81,3.53,0.0,False,False,True,0.0,0.5,1.5
1161,clofilium,CHEMBL9484,True,Voltage-gated inwardly rectifying potassium channel KCNH2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=7.9 (True=12.59 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,3.0,7.9,9.0,2.0,338.99,6.49,1.0,False,False,True,0.0,2.0,0.0
1162,colchicine,CHEMBL107,True,Solute carrier family 22 member 3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.9 (True=120.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.92,8.0,4.0,399.44,2.87,0.0,False,False,False,0.0,1.5,1.5
1163,corticosterone,CHEMBL110739,True,Mineralocorticoid receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.3 (True=0.5 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.3,9.0,3.0,346.47,2.67,0.0,False,False,False,0.0,2.0,1.0
1164,crenolanib,CHEMBL2105728,True,Receptor-type tyrosine-protein kinase FLT3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=10.8 (True=0.016 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,10.8,8.0,3.0,443.55,3.92,0.0,False,False,False,0.0,2.0,1.0
1165,curcumin,CHEMBL140,True,Amyloid-beta precursor protein,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.7 (True=0.208 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.68,9.0,3.0,368.39,3.37,0.0,False,False,False,0.0,2.0,1.0
1166,cycloserine-(D),CHEMBL771,True,"Glutamate receptor ionotropic, NMDA 1",Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.1 (True=7370.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.13,8.0,4.0,102.09,-1.62,0.0,False,False,True,0.0,0.5,1.5
1167,cytisine,CHEMBL497939,True,Neuronal acetylcholine receptor; alpha4/beta2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.9 (True=0.122 True vs True, True); assay confidence=7/9; clinical stage: Phase III; MOA: True",Low,3.0,9.91,7.0,3.0,190.25,0.56,0.0,False,False,False,0.0,2.0,1.0
1168,dabigatran,CHEMBL48361,True,Prothrombin,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.9 (True=1.2 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,8.92,9.0,3.0,471.52,2.99,0.0,False,False,False,0.0,2.0,1.0
1169,dacarbazine,CHEMBL476,True,Matrix metalloproteinase-9,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.2 (True=556.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.25,8.0,4.0,182.19,0.07,0.0,False,False,False,0.0,1.5,1.5
1170,danoprevir,CHEMBL258734,True,Non-structural protein 4b,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.7 (True=0.2 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.7,9.0,3.0,731.84,3.14,1.0,False,False,False,0.0,2.0,1.0
1171,dapivirine,CHEMBL70663,True,Human immunodeficiency virus type 1 reverse transcriptase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.0,9.0,3.0,329.41,4.76,0.0,False,False,False,0.0,2.0,1.0
1172,dapsone,CHEMBL1043,True,5-hydroxytryptamine receptor 6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=183.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.74,9.0,4.0,248.31,1.68,0.0,False,False,False,0.0,1.5,1.5
1173,darapladib,CHEMBL204021,True,Platelet-activating factor acetylhydrolase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=10.3 (True=0.049 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,10.31,9.0,3.0,666.79,7.22,2.0,False,False,False,0.0,2.0,1.0
1174,darusentan,CHEMBL23261,True,Endothelin-1 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.1 (True=0.8 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,9.1,8.0,3.0,410.43,2.92,0.0,False,False,False,0.0,2.0,1.0
1175,decamethonium,CHEMBL1190,True,Histamine H3 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.1 (True=820.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.09,8.0,4.0,258.49,3.52,0.0,False,False,False,0.0,1.5,1.5
1176,defactinib,CHEMBL3137331,True,Focal adhesion kinase 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.7 (True=0.2 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.7,9.0,3.0,510.5,2.4,1.0,False,False,False,0.0,2.0,1.0
1177,delamanid,CHEMBL218650,True,Sodium-dependent serotonin transporter,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.7 (True=2020.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.7,8.0,4.0,534.49,4.97,1.0,False,False,True,0.0,0.5,1.5
1178,deoxycholic-acid,CHEMBL406393,True,G-protein coupled bile acid receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=1010.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.0,9.0,4.0,392.58,4.48,0.0,False,False,False,0.0,1.5,1.5
1179,desoxycorticosterone-pivalate,CHEMBL1200592,True,Progesterone receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=213.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.67,8.0,4.0,414.59,5.29,1.0,False,False,False,0.0,1.5,1.5
1180,dexfenfluramine,CHEMBL248702,True,Sigma non-opioid intracellular receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=217.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.66,8.0,4.0,231.26,3.25,0.0,False,False,False,0.0,1.5,1.5
1181,diclofensine,CHEMBL287257,True,Norepinephrine transporter,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=8.4 (True=4.4 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,3.0,8.36,9.0,2.0,322.24,4.58,0.0,False,False,True,0.0,2.0,0.0
1182,dimetindene,CHEMBL22108,True,Histamine H1 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.2 (True=0.6918 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,9.16,8.0,3.0,292.43,4.15,0.0,False,False,False,0.0,2.0,1.0
1183,dinaciclib,CHEMBL2103840,True,Cyclin-dependent kinase 5,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,9.0,9.0,3.0,396.5,2.28,0.0,False,False,False,0.0,2.0,1.0
1184,diosmin,CHEMBL231884,True,Inhibitor of nuclear factor kappa-B kinase subunit beta,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.4 (True=3890.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,5.41,9.0,4.0,608.55,-1.09,3.0,False,False,True,0.0,0.5,1.5
1185,diphemanil,CHEMBL1201340,True,Muscarinic acetylcholine receptor M1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.9 (True=120.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,6.92,8.0,4.0,278.42,4.36,0.0,False,False,False,0.0,1.5,1.5
1186,dipraglurant,CHEMBL2346738,True,Metabotropic glutamate receptor 5,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=7.7 (True=20.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,3.0,7.7,9.0,2.0,265.29,2.85,0.0,False,False,True,0.0,2.0,0.0
1187,ditolylguanidine,CHEMBL282433,True,"Glutamate receptor ionotropic, NMDA 2B",Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=9.2 (True=0.6 True vs True, True); assay confidence=9/9; MOA: True",Low,3.0,9.22,9.0,,239.32,3.76,0.0,False,False,True,0.0,2.0,0.0
1188,doripenem,CHEMBL491571,True,Voltage-dependent L-type calcium channel subunit alpha-1C,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=5.7 (True=1995.26 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,3.0,5.7,8.0,4.0,420.51,-1.6,0.0,False,False,True,0.0,0.5,1.5
1189,dosulepin,CHEMBL1492500,True,Sodium-dependent serotonin transporter,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=8.0 (True=9.9 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,3.0,8.0,8.0,2.0,295.45,4.68,0.0,False,False,True,0.0,2.0,0.0
1190,doxercalciferol,CHEMBL1200810,True,Vitamin D3 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=960.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,3.0,6.02,9.0,4.0,412.66,6.61,1.0,False,False,False,0.0,1.5,1.5
1191,eglumetad,CHEMBL8759,True,Metabotropic glutamate receptor 2,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=8.3 (True=5.1 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,3.0,8.29,8.0,2.0,185.18,-0.49,0.0,False,False,True,0.0,2.0,0.0
1192,eliprodil,CHEMBL28564,True,"Glutamate receptor ionotropic, NMDA 2B",Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),"pChEMBL=7.9 (True=13.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,3.0,7.89,9.0,2.0,347.86,4.47,0.0,False,False,True,0.0,2.0,0.0
1193,enzastaurin,CHEMBL300138,True,Protein kinase C beta type,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.2 (True=6.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",Low,3.0,8.22,9.0,3.0,515.62,4.93,1.0,False,False,False,0.0,2.0,1.0
1194,eperisone,CHEMBL1902981,True,Sigma non-opioid intracellular receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.8 (True=1.704 True vs True, True); assay confidence=8/9; clinical stage: Phase III; MOA: True",Low,3.0,8.77,8.0,3.0,259.39,3.55,0.0,False,False,False,0.0,2.0,1.0
